wav,text,speaker,phonemes
wavs/000000.wav,सहमत,S4259364800354835,sˈʌhəmˌət
wavs/000001.wav,एक समानान्तर परिपथ में वोल्टेज़ सभी भारों पर समान होता है,S4259364800354835,ˈeːk sˌəmaːnˈaːntəɾ pˈʌɾɪpˌətʰ mẽː ʋˈoːlʈeːz sˈʌbʰi bʰˈaːɾõ pˈʌɾ səmˈaːn hˈoːtaː hɛː
wavs/000002.wav,क्या आप कृपया आजियो से एच पी पेविलियन चौदह के लिए मेरे हाल हाल ही के ऑडर्स के लिए विवरण की पुष्टि कर सकते हैं जिसकी कुल कीमत उनचालीस सत्तर है,S4259364800354835,kːjaː ˌaːp kɾˈɪpjˌaː ˈaːɟɪjˌoː seː ˈeːc pˈi pˈeːʋɪlˌɪjən cˈɔːdəh keː lˈɪeː mˌeːɾeː hˈaːl hˈaːl hˈi keː ɔɖˈʌrs keː lˈɪeː ʋˈɪʋəɾˌəɳ ki pˈʊʂʈɪ kˈʌɾ sˈʌktˌeː hɛ̃ ɟˈɪskˌi kˈʊl kˈiːmət ˌʊncaːlˈiːs sˈʌtːəɾ hɛː
wavs/000003.wav,क्या मैं उत्तर हरियाणा बिजली वितरण निगम लिमिटेड से अप्रैल दो हज़ार चौबीस के लिए अपने बिजली बिल की डुप्लिकेट कॉपी का अनुरोध कर सकता हूँ,S4259364800354835,kːjaː mɛ̃ ˈʊtːəɾ hˌəɾɪjˈaːɳaː bˈɪɟlˌi ʋˈɪtəɾˌəɳ nˈɪɡəm lˌɪmɪʈˈeːɖ seː ʌpɾˈɛːl dˈoː həzˈaːɾ cɔːbˈiːs keː lˈɪeː ˈʌpnˌeː bˈɪɟlˌi bˈɪl ki ɖˌʊplɪkˈeːʈ kˈɔpi kaː ˌʌnʊɾˈoːdʰ kˈʌɾ sˈʌktˌaː hũ
wavs/000004.wav,सात,S4259364800354835,sˈaːt
wavs/000005.wav,हलो,S4259364800354835,hˈʌloː
wavs/000006.wav,जी प्रणाम प्रणाम सर,S4259364800354835,ɟˈi pɾəɳˈaːm pɾəɳˈaːm sˈʌɾ
wavs/000007.wav,ये बोल रहे थे यहाँ पर जैसे मतलब कौन कौन मंदिर घूमने के लिए है कौन कौन मंदिर बढ़ियाँ है दार्शनिक स्थान है कहाँ कहाँ है,S4259364800354835,jeː bˈoːl ɾˌəheː tʰeː jˈʌhã pˈʌɾ ɟˈɛːseː mˈʌtəlˌəb kˈɔːn kˈɔːn mˈʌndɪɾ ɡʰˈuːmnˌeː keː lˈɪeː hɛː kˈɔːn kˈɔːn mˈʌndɪɾ bˈʌr.hɪjˌã hɛː dˈaːrʃənˌɪk stʰˈaːn hɛː kˈʌhã kˈʌhã hɛː
wavs/000008.wav,औ,S4259364800354835,ˈɔː
wavs/000009.wav,इसके बाद और कौन कौन सा ऐसा स्थान है जहाँ दार्शनिक है जहाँ हम घूम सकते हैं हम तो बाहर से आए हैं तो हमको उतना पता नहीं है तो इसके लिए बताइए,S4259364800354835,ˈɪskˌeː bˈaːd ɔːɾ kˈɔːn kˈɔːn sˈaː ˈɛːsaː stʰˈaːn hɛː ɟˈʌhã dˈaːrʃənˌɪk hɛː ɟˈʌhã hˌəm ɡʰˈuːm sˈʌktˌeː hɛ̃ hˌəm tˈoː bˈaːhəɾ seː ˈaːeː hɛ̃ tˈoː hˈʌmkˌoː ˈʊtnˌaː pˈʌtaː nˈʌhĩ hɛː tˈoː ˈɪskˌeː lˈɪeː bətˈaːɪˌeː
wavs/000010.wav,वहाँ जाने के लिए सुविधा क्या क्या है जैसे वहाँ जाने के लिए मतलब क्या क्या सुविधाएँ हैं,S4259364800354835,ʋˈʌhã ɟˈaːneː keː lˈɪeː sˈʊʋɪdʰˌaː kːjaː kːjaː hɛː ɟˈɛːseː ʋˈʌhã ɟˈaːneː keː lˈɪeː mˈʌtəlˌəb kːjaː kːjaː sˌʊʋɪdʰˈaːj hɛ̃
wavs/000011.wav,अच्छा,S4259364800354835,ˈʌcʰcʰaː
wavs/000012.wav,ये बताइए ये बताइए वहाँ पर भाड़ा ओरा का कोई ऐसा है क्या ज्यादा ले लेगा कितना लगेगा क्या लगेगा,S4259364800354835,jeː bətˈaːɪˌeː jeː bətˈaːɪˌeː ʋˈʌhã pˈʌɾ bʰˈaːr.aː ˈoːɾaː kaː kˈoːi ˈɛːsaː hɛː kːjaː ɟjˈaːdaː lˈeː lˈeːɡaː kˈɪtnˌaː ləɡˈeːɡaː kːjaː ləɡˈeːɡaː
wavs/000013.wav,वह वहाँ,S4259364800354835,ʋˌəh ʋˈʌhã
wavs/000014.wav,अच्छा ये बताइए वहाँ पर जो है मान के और क्या क्या मतलब जो है ये है मतलब फैसलेटी क्या क्या है वहाँ पर जो है ओहमा से क्या विशेषताएँ हैं वहाँ मंदिर से क्या विशेषता है मंदिर जाने से हमको क्या फायदा हो सकता है,S4259364800354835,ˈʌcʰcʰaː jeː bətˈaːɪˌeː ʋˈʌhã pˈʌɾ ɟˈoː hɛː mˈaːn keː ɔːɾ kːjaː kːjaː mˈʌtəlˌəb ɟˈoː hɛː jeː hɛː mˈʌtəlˌəb pʰˌɛːslˈeːʈi kːjaː kːjaː hɛː ʋˈʌhã pˈʌɾ ɟˈoː hɛː ˈoːhəmˌaː seː kːjaː ʋˌɪʃeːʂtˈaːj hɛ̃ ʋˈʌhã mˈʌndɪɾ seː kːjaː ʋɪʃˈeːʂtˌaː hɛː mˈʌndɪɾ ɟˈaːneː seː hˈʌmkˌoː kːjaː pʰˈaːjdˌaː hoː sˈʌktˌaː hɛː
wavs/000015.wav,अच्छा ऐसा होता है,S4259364800354835,ˈʌcʰcʰaː ˈɛːsaː hˈoːtaː hɛː
wavs/000016.wav,हो हो ऐसा है न तो वहाँ तो हमको उतना पता नहीं हम तो बाहर से आए हुए हैं तो सोचे पुजारी से थोड़ा पता करते हैं तो वहाँ और बताइए कि मान के चलिए किसी का ऐसा हुआ है क्या मन्नत माँगे पूरा हो गया हम भी आएँगे तो क्या पूरा हो सकता है,S4259364800354835,hoː hoː ˈɛːsaː hɛː nˈə tˈoː ʋˈʌhã tˈoː hˈʌmkˌoː ˈʊtnˌaː pˈʌtaː nˈʌhĩ hˌəm tˈoː bˈaːhəɾ seː ˈaːeː hˈʊeː hɛ̃ tˈoː sˈoːceː pʊɟˈaːɾi seː tʰˈoːr.aː pˈʌtaː kˈʌɾtˌeː hɛ̃ tˈoː ʋˈʌhã ɔːɾ bətˈaːɪˌeː kˈɪ mˈaːn keː cˈʌlɪˌeː kˈɪsi kaː ˈɛːsaː hˈʊaː hɛː kːjaː mˈʌnnət mˈãnɡeː pˈuːɾaː hoː ɡˈʌjaː hˌəm bʰˈi aːˈẽːɡeː tˈoː kːjaː pˈuːɾaː hoː sˈʌktˌaː hɛː
wavs/000017.wav,हाँ,S4259364800354835,hˈã
wavs/000018.wav,हेलो,S4259364800354835,hˈeːloː
wavs/000019.wav,क्रिकेट क्या आपको मतलब सीखना है क्या,S4259364800354835,kɾˈɪkɪt kːjaː ˌaːpkˌoː mˈʌtəlˌəb sˈiːkʰnˌaː hɛː kːjaː
wavs/000020.wav,हाँ है एक्चुअली में व्यवस्था है यहाँ पर मतलब मधेपुरा में है क्रिकेट एस्टेडियम है,S4259364800354835,hˈã hɛː ˈeːkcʊˌəli mẽː ʋjəʋˈʌstʰaː hɛː jˈʌhã pˈʌɾ mˈʌtəlˌəb mədʰˈeːpʊɾˌaː mẽː hɛː kɾˈɪkɪt ˈeːsʈeːɖˌɪjəm hɛː
wavs/000021.wav,और,S4259364800354835,ˈɔːɾ
wavs/000022.wav,और तो मधेपुरा में है और जो है इधर जो है बिहारीगन्ज में है,S4259364800354835,ɔːɾ tˈoː mədʰˈeːpʊɾˌaː mẽː hɛː ɔːɾ ɟˈoː hɛː ˈɪdʰəɾ ɟˈoː hɛː bˌɪhaːɾiɡˈʌnɟ mẽː hɛː
wavs/000023.wav,<unintelligible>,S4259364800354835,(en)ˌʌnɪntˈɛlɪdʒəbəl(hi)
wavs/000024.wav,देखिए व्यवस्था में वहाँ एस्टेडियम है वहाँ जो है बहुत अच्छी जगह है बहुत अच्छा वहाँ जो है उस तरह की व्यवस्था की हुई है,S4259364800354835,dˈeːkʰɪˌeː ʋjəʋˈʌstʰaː mẽː ʋˈʌhã ˈeːsʈeːɖˌɪjəm hɛː ʋˈʌhã ɟˈoː hɛː bˈʌhʊt ˈʌcʰcʰi ɟˈʌɡəh hɛː bˈʌhʊt ˈʌcʰcʰaː ʋˈʌhã ɟˈoː hɛː ˈʊs tˈʌɾəh ki ʋjəʋˈʌstʰaː ki hˈʊi hɛː
wavs/000025.wav,वहाँ सिखाने वाली व्यवस्था है सिखाया जाता है ट्रेनिन्ग दी जाती है वहाँ से आप ट्रेनिन्ग ले सकते हैं सीख सकते हैं खेल भी सकते हैं,S4259364800354835,ʋˈʌhã sɪkʰˈaːneː ʋˈaːli ʋjəʋˈʌstʰaː hɛː sɪkʰˈaːjaː ɟˈaːtaː hɛː ʈɾeːnˈɪnɡ dˈi ɟˈaːti hɛː ʋˈʌhã seː ˌaːp ʈɾeːnˈɪnɡ lˈeː sˈʌktˌeː hɛ̃ sˈiːkʰ sˈʌktˌeː hɛ̃ kʰˈeːl bʰˈi sˈʌktˌeː hɛ̃
wavs/000026.wav,क्या बोले,S4259364800354835,kːjaː bˈoːleː
wavs/000027.wav,देखिए फील्ट फील्ड फील्ड वहाँ साफ़ सुथरा रहता है जहाँ पर यह होता है इसका वह फील्ड साफ़ सुथरा रहता है चारों तरफ़ से बहुत ऊँची सी दीवार है उसके बाद उसी में बैठने वाली जगह है उसमें अगर अधिक गर्मी लग रही है तो बगल में उसमें जो है टेन्ट भी लगाया रहता है कि वहाँ सारी सुविधा उपलब्धता तो कोई दिक्कत नहीं है,S4259364800354835,dˈeːkʰɪˌeː pʰˈiːlʈ pʰˈiːlɖ pʰˈiːlɖ ʋˈʌhã sˈaːf sˈʊtʰɾˌaː ɾˈʌhətˌaː hɛː ɟˈʌhã pˈʌɾ jˌəh hˈoːtaː hɛː ˌɪskˌaː ʋˌəh pʰˈiːlɖ sˈaːf sˈʊtʰɾˌaː ɾˈʌhətˌaː hɛː cˈaːɾõ tˈʌɾəf seː bˈʌhʊt ˈunci sˈi diʋˈaːɾ hɛː ˌʊskˌeː bˈaːd ˈʊsi mẽː bˈɛːʈʰnˌeː ʋˈaːli ɟˈʌɡəh hɛː ˈʊsmˌẽː ˌʌɡəɾ ˈʌdʰɪk ɡˈʌrmi lˈʌɡ ɾˌəhi hɛː tˈoː bˈʌɡəl mẽː ˈʊsmˌẽː ɟˈoː hɛː ʈˈeːnʈ bʰˈi ləɡˈaːjaː ɾˈʌhətˌaː hɛː kˈɪ ʋˈʌhã sˈaːɾi sˈʊʋɪdʰˌaː ˌʊpəlˈʌbdʰətˌaː tˈoː kˈoːi dˈɪkːət nˈʌhĩ hɛː
wavs/000028.wav,क्या बोले हाँ हाँ हाँ हाँ हर जगह से लोग आते हैं वहाँ क्रिकेट खेलने के लिए वहाँ ट्रेनिन्ग दी जाती है खिलाया जाता है प्रशिक्षण भी दिया जाता है सारी सुविधा वहाँ पर मतलब उपलब्ध रहती है,S4259364800354835,kːjaː bˈoːleː hˈã hˈã hˈã hˈã hˈʌɾ ɟˈʌɡəh seː lˈoːɡ ˈaːteː hɛ̃ ʋˈʌhã kɾˈɪkɪt kʰˈeːlnˌeː keː lˈɪeː ʋˈʌhã ʈɾeːnˈɪnɡ dˈi ɟˈaːti hɛː kʰɪlˈaːjaː ɟˈaːtaː hɛː pɾəʃˈɪkʃəɳ bʰˈi dˈɪjaː ɟˈaːtaː hɛː sˈaːɾi sˈʊʋɪdʰˌaː ʋˈʌhã pˈʌɾ mˈʌtəlˌəb ˌʊpəlˈʌbdʰ ɾˈʌhətˌi hɛː
wavs/000029.wav,<unintelligible> देखिए एक तो जिला लेवल पर होता है जिला लेवल है राज्य लेवल के लिए भी उससे भी अच्छी जगह जो है चयनित की जाती है हाँ है ना,S4259364800354835,(en)ˌʌnɪntˈɛlɪdʒəbəl(hi) dˈeːkʰɪˌeː ˈeːk tˈoː ɟˈɪlaː lˈeːʋəl pˈʌɾ hˈoːtaː hɛː ɟˈɪlaː lˈeːʋəl hɛː ɾˈaːɟjə lˈeːʋəl keː lˈɪeː bʰˈi ˈʊssˌeː bʰˈi ˈʌcʰcʰi ɟˈʌɡəh ɟˈoː hɛː cˈʌjnˌɪt ki ɟˈaːti hɛː hˈã hɛː nˈaː
wavs/000030.wav,<unintelligible> हाँ बोलिए और आगे,S4259364800354835,(en)ˌʌnɪntˈɛlɪdʒəbəl(hi) hˈã bˈoːlɪˌeː ɔːɾ ˈaːɡeː
wavs/000031.wav,जी अच्छी बात है जानकारी लिए जानकारी लेने के लिए बहुत बहुत धन्यवाद और आपके लिए एकदम एनी टाइम जब भी आइए जब भी आइए आप खेलने के लिए आप प्रशिक्षण लेंगे,S4259364800354835,ɟˈi ˈʌcʰcʰi bˈaːt hɛː ɟˌaːnkˈaːɾi lˈɪeː ɟˌaːnkˈaːɾi lˈeːneː keː lˈɪeː bˈʌhʊt bˈʌhʊt dʰˌənjəʋˈaːd ɔːɾ ˌaːpkˌeː lˈɪeː ˈeːkədˌəm ˈeːni ʈˈaːɪm ɟˈʌb bʰˈi ˈaːɪˌeː ɟˈʌb bʰˈi ˈaːɪˌeː ˌaːp kʰˈeːlnˌeː keː lˈɪeː ˌaːp pɾəʃˈɪkʃəɳ lˈẽːɡeː
wavs/000032.wav,जो भी बच्चे हैं जो भी बच्चे हैं अगर आप चाहते हैं प्रशिक्षण दिलाने के लिए उसको सिखाने के लिए तो वहाँ आप उसमें दाख़िला करा सकते हैं,S4259364800354835,ɟˈoː bʰˈi bˈʌcːeː hɛ̃ ɟˈoː bʰˈi bˈʌcːeː hɛ̃ ˌʌɡəɾ ˌaːp cˈaːhətˌeː hɛ̃ pɾəʃˈɪkʃəɳ dɪlˈaːneː keː lˈɪeː ˈʊskˌoː sɪkʰˈaːneː keː lˈɪeː tˈoː ʋˈʌhã ˌaːp ˈʊsmˌẽː dˈaːxɪlˌaː kˈʌɾaː sˈʌktˌeː hɛ̃
wavs/000033.wav,जी जी एकदम एकदम खेल भी कराया जाता है प्रशिक्षण भी दिया जाता है मेरे यहाँ सारी सुविधा उपलब्ध है सर कोई दिक्कत नहीं होगी प्रेफ़रेन्स मिलेगा आपको,S4259364800354835,ɟˈi ɟˈi ˈeːkədˌəm ˈeːkədˌəm kʰˈeːl bʰˈi kəɾˈaːjaː ɟˈaːtaː hɛː pɾəʃˈɪkʃəɳ bʰˈi dˈɪjaː ɟˈaːtaː hɛː mˌeːɾeː jˈʌhã sˈaːɾi sˈʊʋɪdʰˌaː ˌʊpəlˈʌbdʰ hɛː sˈʌɾ kˈoːi dˈɪkːət nˈʌhĩ hˈoːɡi pɾˌeːfɾˈeːns mɪlˈeːɡaː ˌaːpkˌoː
wavs/000034.wav,बेहतर शिक्षा मिलेगी,S4259364800354835,bˈeːhətˌəɾ ʃˈɪkʃaː mɪlˈeːɡi
wavs/000035.wav,जी,S4259364800354835,ɟˈi
wavs/000036.wav,हूँ हुँ हूँ,S4259364800354835,hũ hˈũ hũ
wavs/000037.wav,विशेष जानकारी वहाँ देखिए वहाँ जो है सारी व्यवस्था रहती है इसीलिए सारी सुविधा वहाँ रहती है जैसे मान चलिए,S4259364800354835,ʋɪʃˈeːʂ ɟˌaːnkˈaːɾi ʋˈʌhã dˈeːkʰɪˌeː ʋˈʌhã ɟˈoː hɛː sˈaːɾi ʋjəʋˈʌstʰaː ɾˈʌhətˌi hɛː ɪsˈiːlɪˌeː sˈaːɾi sˈʊʋɪdʰˌaː ʋˈʌhã ɾˈʌhətˌi hɛː ɟˈɛːseː mˈaːn cˈʌlɪˌeː
wavs/000038.wav,अगर खेल खाल के दौरान किसी प्रकार की समस्या हो गई तो उसके लिए सारा जो है डॉक्टरी व्यवस्था भी वहाँ उपलब्ध है वहाँ,S4259364800354835,ˌʌɡəɾ kʰˈeːl kʰˈaːl keː dɔːɾˈaːn kˈɪsi pɾəkˈaːɾ ki səmˈʌsjaː hoː ɡˈʌi tˈoː ˌʊskˌeː lˈɪeː sˈaːɾaː ɟˈoː hɛː ɖˈɔkʈəɾˌi ʋjəʋˈʌstʰaː bʰˈi ʋˈʌhã ˌʊpəlˈʌbdʰ hɛː ʋˈʌhã
wavs/000039.wav,मतलब किसी प्रकार की समस्या दिक्कत होने पर तुरन्त जो है वहाँ प्रशासन व्यवस्था रहती है डॉक्टरी व्यवस्था रहती है अच्छे अच्छे टीचर के द्वारा प्रशिक्षण दिया जाता है अच्छे अच्छे खिलाड़ी वहाँ आते हैं,S4259364800354835,mˈʌtəlˌəb kˈɪsi pɾəkˈaːɾ ki səmˈʌsjaː dˈɪkːət hˈoːneː pˈʌɾ tʊɾˈʌnt ɟˈoː hɛː ʋˈʌhã pɾəʃˈaːsən ʋjəʋˈʌstʰaː ɾˈʌhətˌi hɛː ɖˈɔkʈəɾˌi ʋjəʋˈʌstʰaː ɾˈʌhətˌi hɛː ˈʌcʰcʰeː ˈʌcʰcʰeː ʈˈiːcəɾ keː dʋˈaːɾaː pɾəʃˈɪkʃəɳ dˈɪjaː ɟˈaːtaː hɛː ˈʌcʰcʰeː ˈʌcʰcʰeː kʰɪlˈaːr.i ʋˈʌhã ˈaːteː hɛ̃
wavs/000040.wav,नीचे,S4259364800354835,nˈiːceː
wavs/000041.wav,शून्य,S4259364800354835,ʃˈuːnjə
wavs/000042.wav,पीछे,S4259364800354835,pˈiːcʰeː
wavs/000043.wav,पेड़,S4259364800354835,pˈeːr.
wavs/000044.wav,नेत्रा न्यूज स्पीट में एक खोजी है जनहित पत्रकारिता बेवसाइट है,S4259364800354835,nˈeːtɾaː njˈuːɟ spˈiːʈ mẽː ˈeːk kʰˈoːɟi hɛː ɟˈʌnhˌɪt pˌətɾəkˈaːɾɪtˌaː bˌeːʋsˈaːɪʈ hɛː
wavs/000045.wav,मुझे गुजरात ऊर्जा विकास निगम लिमिटेड से अगस्त दो हज़ार तेइस के लिए अपने बिजली बिल की डुब्लिकेट कांपी करना कांपी चाहिए क्या आप इससे में मेरी सहायता कर सकते हैं,S4259364800354835,mˌʊɟʰeː ɡˌʊɟɾˈaːt ˈuɾɟaː ʋɪkˈaːs nˈɪɡəm lˌɪmɪʈˈeːɖ seː ʌɡˈʌst dˈoː həzˈaːɾ tˈeːɪs keː lˈɪeː ˈʌpnˌeː bˈɪɟlˌi bˈɪl ki ɖˌʊblɪkˈeːʈ kˈãpi kˈʌɾnˌaː kˈãpi cˈaːhɪˌeː kːjaː ˌaːp ˈɪssˌeː mẽː mˌeːɾi səhˈaːjtˌaː kˈʌɾ sˈʌktˌeː hɛ̃
wavs/000046.wav,मैंने हाल ही में मित्रा से सोनी प्लेस्टेशन खरीदा है और मैं इससे काफी संतुष्ट हूँ डिलीवरी शीघ्र हुई और उत्पाद की गुणवत्ता उत्कृष्ट है,S4259364800354835,mˈɛ̃neː hˈaːl hˈi mẽː mˈɪtɾaː seː sˈoːni plˈeːsʈeːʃˌən kʰəɾˈiːdaː hɛː ɔːɾ mɛ̃ ˈɪssˌeː kˈaːpʰi səntˈʊʂʈ hũ ɖɪlˈiːʋɾˌi ʃˈiːɡʰɾə hˈʊi ɔːɾ ʊtpˈaːd ki ɡˌʊɳəʋˈʌtːaː ʊtkɾˈɪʂʈ hɛː
wavs/000047.wav,क्या आप कृप्या बिजय सेल्स पर मेरे काॅर्ट से डेल एक्स पी सेस हटा सकते हैं,S4259364800354835,kːjaː ˌaːp kɾˈɪpːjaː bˈɪɟˌɛj sˈeːls pˈʌɾ mˌeːɾeː kaːʰχˈɛɾʈ seː ɖˈeːl ˈeːks pˈi sˈeːs hˈʌʈaː sˈʌktˌeː hɛ̃
wavs/000048.wav,हाँ बोलिए,S4259364800354835,hˈã bˈoːlɪˌeː
wavs/000049.wav,हाँ बोलिए क्या बात है,S4259364800354835,hˈã bˈoːlɪˌeː kːjaː bˈaːt hɛː
wavs/000050.wav,हाँ हाँ सुन रहें बोलिए,S4259364800354835,hˈã hˈã sˈʊn ɾˈʌhẽː bˈoːlɪˌeː
wavs/000051.wav,कपड़ा लेना है कॉटन का क्या क्या कपड़ा में कौन सी लेना है,S4259364800354835,kˈʌpr.ˌaː lˈeːnaː hɛː kˈɔʈən kaː kːjaː kːjaː kˈʌpr.ˌaː mẽː kˈɔːn sˈi lˈeːnaː hɛː
wavs/000052.wav,कॉटन का सट पैन्ट लेना है,S4259364800354835,kˈɔʈən kaː sˈʌʈ pˈɛːnʈ lˈeːnaː hɛː
wavs/000053.wav,जी देखिए कोटन का सर्ट पैन्ट लीजिएगा तो ठीक है लीजिए उसमें जो है क्वेलटी है कैसा आप खरीदना चाहते हैं कैसा लेना चाहते हैं देख लीजिए,S4259364800354835,ɟˈi dˈeːkʰɪˌeː kˈoːʈən kaː sˈʌɾʈ pˈɛːnʈ lˌiːɟɪˈeːɡaː tˈoː ʈʰˈiːk hɛː lˈiːɟɪˌeː ˈʊsmˌẽː ɟˈoː hɛː kʋˈeːlʈˌi hɛː kˈɛːsaː ˌaːp kʰəɾˈiːdnˌaː cˈaːhətˌeː hɛ̃ kˈɛːsaː lˈeːnaː cˈaːhətˌeː hɛ̃ dˈeːkʰ lˈiːɟɪˌeː
wavs/000054.wav,देखिए सर हमारे पास अवेलेबल है तीन रैंक का कपड़ा अवेलेबल है है न तो तीनों का,S4259364800354835,dˈeːkʰɪˌeː sˈʌɾ həmˌaːɾeː pˈaːs ˌʌʋeːlˈeːbəl hɛː tˈiːn ɾˈɛ̃k kaː kˈʌpr.ˌaː ˌʌʋeːlˈeːbəl hɛː hɛː nˈə tˈoː tˈiːnõ kaː
